claimant_id,name,ssn,dob,address,phone,email,license_number,is_fraud_ring,fraud_ring_id
CLM_LEG_31,Parker Cain,570-08-9609,1983-03-22,"9847 Garcia Squares Apt. 836
Beasleychester, MA 59942",(361)856-5452x7111,elizabeth65@example.net,DL56765623,False,
CLM_LEG_32,Michael Parker,348-45-0101,1957-05-07,"9451 Eric Orchard
Port Daniel, PR 73411",(614)293-6899x809,ashleymorales@example.org,DL99451183,False,
CLM_LEG_33,Daniel Hunt,354-56-1817,1964-04-12,"83667 Moore Inlet
Kimberlyshire, PA 11636",9229901476,trose@example.org,DL29597483,False,
CLM_LEG_34,Shannon Johnston,588-52-6844,1964-09-14,"34324 Murphy Avenue
Burgessburgh, DC 50335",+1-238-985-1606,sullivantammy@example.org,DL82963368,False,
CLM_LEG_35,Justin Riley,698-73-5296,2003-10-25,"61369 Warren Locks Suite 535
North William, DE 70048",435.952.3124x32921,edward17@example.com,DL84743076,False,
CLM_LEG_36,Steven Cooper,732-11-8267,1988-12-21,"058 Lance Mission Apt. 054
Lake Michelleland, RI 78368",267.998.0793x59782,benjaminzimmerman@example.com,DL70339290,False,
CLM_LEG_37,Maria Murphy,131-86-8625,1951-05-13,"5466 Shelton Center
Cameronville, OH 89417",(344)692-5192x5462,bromero@example.com,DL41455302,False,
CLM_LEG_38,Nicole Bowers,240-69-3919,1966-01-23,"7332 Chris Vista
New Kellihaven, AZ 87261",592-996-2229x27065,mmckee@example.com,DL91040800,False,
CLM_LEG_39,Christopher Cole,526-19-7168,1951-03-31,"USCGC Murray
FPO AA 50553",386.623.9240x75818,lisawilkerson@example.org,DL55686520,False,
CLM_LEG_40,Bryan Allen,655-80-7490,1949-04-12,"61530 Galvan Villages Suite 220
Samanthafort, UT 18692",001-377-690-1043x28986,copelandvincent@example.net,DL2205915,False,
CLM_LEG_41,Mrs. Alexis Kramer,354-31-1699,1997-07-03,"246 Christina Garden
Lopezland, NC 47766",288-888-8067,dennis58@example.com,DL86274567,False,
CLM_LEG_42,Stephanie Hughes,192-64-8152,1970-01-01,"722 Jennifer Mount Apt. 430
North Leslie, ME 68053",(887)840-3450x5415,laurie61@example.com,DL80859912,False,
CLM_LEG_43,Robert Shelton,032-19-9955,1991-02-23,"Unit 2845 Box 1154
DPO AA 58948",+1-362-875-7059x640,ejohnson@example.org,DL86592295,False,
CLM_LEG_44,Donna Hendricks DDS,126-18-1214,1975-10-07,"092 Rush Landing Suite 192
Raymondview, IA 15370",9275868144,rachelwallace@example.org,DL91526995,False,
CLM_LEG_45,Kristen Salazar,089-09-5068,1972-02-06,"Unit 5518 Box 8442
DPO AP 93504",001-725-983-1323x705,xfox@example.com,DL77161840,False,
CLM_LEG_46,Lisa Davis,657-22-9697,1984-07-08,"177 Anderson Village Apt. 268
Port Davidberg, ME 22082",(653)458-4143,georgeweber@example.net,DL45314533,False,
CLM_LEG_47,Emily Higgins,752-45-6533,1953-11-26,"10943 Montgomery Burgs
Smallside, LA 84637",573-764-7102x7677,zachary15@example.org,DL62608888,False,
CLM_LEG_48,Stephen Pena MD,550-02-1762,1974-04-30,"21046 Wright Way Apt. 595
Port Erik, NY 61687",247.601.6873x3950,nicoleluna@example.com,DL49115280,False,
CLM_LEG_49,Chad Cook,486-67-7488,1955-02-20,"835 Jones Parkways
Duranview, GU 82190",+1-891-221-6558x52398,markaustin@example.org,DL52741471,False,
CLM_LEG_50,Rachel Parsons,592-30-0842,1984-09-17,"Unit 4958 Box 8879
DPO AA 62746",9556169409,ojackson@example.net,DL83179531,False,
CLM_LEG_51,David Grant,231-39-4736,1992-12-21,"30913 Scott Manor Apt. 636
Salaston, VT 18599",638.957.8652x78585,hannahburns@example.com,DL46815569,False,
CLM_LEG_52,Taylor Perez,239-07-1642,1973-02-16,"1986 Cardenas Trail Apt. 404
West Sandraview, WA 63294",538.548.4219,jennifer12@example.org,DL73867070,False,
CLM_LEG_53,Lance Hebert,344-37-7445,1988-08-23,"Unit 2677 Box 3454
DPO AP 08255",001-219-238-0262x06724,ismall@example.net,DL62816684,False,
CLM_LEG_54,Jeremy Adams,338-39-9544,1994-03-13,"2742 Jill Turnpike
Ashleyborough, HI 80580",+1-266-685-1612x2753,greenmichael@example.org,DL8338186,False,
CLM_LEG_55,Ashley Poole,518-26-9384,1981-07-10,"2684 Danielle Hill Suite 933
South Eric, WA 79896",(768)378-3391x878,franklinbond@example.com,DL15601471,False,
CLM_LEG_56,Chad May,747-83-6888,1970-06-27,"87072 Bryant Centers Suite 406
Lisaborough, OR 10073",6658180170,ywest@example.com,DL10770971,False,
CLM_LEG_57,Jennifer Miranda,017-31-3377,1949-08-01,"512 Rice Stream
Port Adam, AK 39608",386.286.3375x243,wheelersean@example.net,DL94393484,False,
CLM_LEG_58,Antonio Fry,753-23-7000,1982-10-30,"067 Amber Throughway
East Williamport, IN 96382",001-559-895-3428,wwilliams@example.net,DL90106068,False,
CLM_LEG_59,Michael Morrison,895-10-3083,1999-10-05,"662 Bennett Throughway Suite 334
Port Steven, AR 74214",(568)282-6343x51751,timothybooth@example.com,DL40693207,False,
CLM_LEG_60,Matthew Parker,369-66-8148,1976-09-18,"USS Lewis
FPO AE 97687",673-893-6385,langjennifer@example.com,DL27263310,False,
CLM_LEG_61,Angela Meyers,050-98-0105,1973-01-25,"93204 Phillips Flat Suite 369
South Andrea, TX 44746",277-272-5228x728,meganhall@example.net,DL20270856,False,
CLM_LEG_62,Angela Chung,471-73-3985,1992-06-13,"0997 Smith Place Suite 008
Amandaport, AK 66327",001-762-611-8233x984,kevinclayton@example.org,DL87742922,False,
CLM_LEG_63,Benjamin Frost,557-73-0540,1957-03-17,"Unit 0166 Box 6870
DPO AP 01739",001-921-676-5918x033,alexis39@example.org,DL95658504,False,
CLM_LEG_64,Donald Riddle,503-30-5830,1982-08-21,"2939 Rhodes Plains
Patrickberg, WY 90850",001-818-750-1631x5999,rreynolds@example.net,DL88673882,False,
CLM_LEG_65,Brandon George,333-50-0203,1964-11-11,"11426 Jodi Island Suite 110
Seanview, CT 17868",226-378-8861,fhughes@example.net,DL75099723,False,
CLM_LEG_66,Chad Smith,406-43-6225,1999-09-21,"PSC 3982, Box 6224
APO AA 35681",921.526.4647x1543,scott69@example.org,DL40323741,False,
CLM_LEG_67,Sandra Jones,869-53-8181,1954-06-23,"5265 Navarro Roads
Faulknerbury, MD 49791",565-919-3982x807,john26@example.com,DL9927432,False,
CLM_LEG_68,Joel Frazier,708-65-2470,1968-06-24,"688 Stephens Turnpike Suite 891
Port Johnstad, GA 85304",+1-509-965-6101x438,webbkenneth@example.org,DL15578562,False,
CLM_LEG_69,Jared Lopez,656-85-7081,1971-12-04,"4573 Bailey Court
Bowenmouth, MD 09305",801-905-1238x2825,mclaughlinnicole@example.com,DL79484162,False,
CLM_LEG_70,Michele Evans,630-76-1389,1990-09-28,"334 Barbara Union
West Mark, NH 15437",978-459-6969x155,lawrenceallen@example.org,DL24567819,False,
CLM_LEG_71,Kari Lee,394-72-8282,1989-06-12,"669 Bailey Manors
South Cynthia, UT 85076",(282)774-2257,fortiz@example.com,DL95313695,False,
CLM_LEG_72,Scott Miller,887-16-3883,1959-04-15,"19034 Joshua Plain Suite 279
Dunnville, OK 15470",285-980-7836x134,michelle96@example.org,DL82698414,False,
CLM_LEG_73,Jaime Jones,814-99-1526,1972-06-01,"09584 Mario Squares
Keithview, PR 67926",+1-412-660-4223x25367,heather57@example.com,DL43928023,False,
CLM_LEG_74,Tyler Harris,706-17-4946,1955-10-28,"751 Robinson Meadow
South Joseph, MP 37672",989-929-7500x17012,clarence54@example.org,DL49908025,False,
CLM_LEG_75,Ashley Edwards,307-18-6271,1997-08-21,"64361 Aaron Neck
East Brittneyhaven, TX 58836",8053162713,darlenebyrd@example.org,DL71203615,False,
CLM_LEG_76,Mary Turner,531-78-8349,1957-11-03,"5326 Heath Corners
East Karenshire, VA 50836",(665)223-4138x999,dphillips@example.org,DL66422705,False,
CLM_LEG_77,Tiffany Sanders,294-81-8210,1997-03-16,"9180 Peck Curve
Valenciashire, MT 48396",+1-527-210-9104,zhenderson@example.org,DL85971459,False,
CLM_LEG_78,Carla Benton,536-67-4248,1956-05-13,"1418 Terri Drives
Peterland, ME 92077",(230)431-6179x90421,david41@example.org,DL44964418,False,
CLM_LEG_79,Chris Velazquez,879-05-9059,1999-08-28,"149 Tyler Pass Suite 079
West Eric, WI 13988",001-913-780-0030,pwalker@example.com,DL96675408,False,
CLM_LEG_80,Katherine Barton,201-94-8955,1996-10-02,"518 Harry Unions
South Caseymouth, VI 37503",001-945-718-7053x49493,edwardrandolph@example.org,DL31272427,False,
CLM_LEG_81,Keith Graham,134-31-4779,1962-10-06,"0641 Alyssa Freeway
Vasquezton, FL 93778",410-838-6571x918,sara65@example.com,DL60768130,False,
CLM_LEG_82,Tracy Foster,051-87-4897,1962-09-16,"29121 Shannon Island
Martinezstad, WI 27716",447.341.1249x035,anthonysullivan@example.com,DL74618850,False,
CLM_LEG_83,Amber Glass,444-93-6472,1978-10-07,"71210 Maria Forges
East Madison, MN 90453",+1-319-294-1013x7215,reyesronald@example.com,DL28818707,False,
CLM_LEG_84,Rachael Howard DDS,497-45-9268,1979-03-12,"PSC 4472, Box 0999
APO AE 85341",576-287-0146x2638,paul20@example.com,DL80143600,False,
CLM_LEG_85,Rita Waller,556-40-2877,1978-05-18,"78593 Craig Shoals Apt. 480
New Meghan, AS 51412",(422)539-5590x599,davisjesse@example.org,DL2674689,False,
CLM_LEG_86,William Oconnor,448-82-7983,1989-03-07,"9325 Samantha Vista
Brianberg, OR 92866",(718)651-5691,grant89@example.com,DL29962391,False,
CLM_LEG_87,Tracey Underwood,687-82-5501,1975-05-26,"4422 Stacy Ports
Rosalesshire, AZ 24366",+1-759-439-1725x135,bakerjohn@example.org,DL47040785,False,
CLM_LEG_88,Stephen Martin,077-71-1526,1968-01-01,"006 Oconnor Expressway
Snyderfurt, MI 72069",(317)393-2710x4054,bbush@example.net,DL22145548,False,
CLM_LEG_89,Christopher Carter,084-61-1893,1965-12-27,"01533 Terry Stravenue Suite 443
North Philipside, MP 64850",(505)306-1497,qruiz@example.com,DL12232184,False,
CLM_LEG_90,James Nash,036-65-9359,2006-04-12,"56527 Jose Mountain Suite 349
East Karenville, CO 88075",(586)993-8068x687,davidtodd@example.org,DL22436477,False,
CLM_LEG_91,Charles Matthews,777-13-1731,1983-04-18,"Unit 3206 Box 1632
DPO AP 34302",811-368-6854x87099,floydmikayla@example.com,DL55148727,False,
CLM_LEG_92,Lisa Davis,453-28-6672,1995-06-05,"970 Joshua Divide Suite 065
North Julie, PW 35704",(705)644-4713x247,xmalone@example.org,DL69158328,False,
CLM_LEG_93,Kirk Thompson,892-61-9616,1982-07-10,"8628 Glenn Wells
Port Brian, AZ 60328",2535457861,max41@example.com,DL3684342,False,
CLM_LEG_94,Michael Holloway,407-75-1677,1945-07-03,"333 Joseph Lodge
Port Kimberlytown, NJ 17843",+1-629-503-4944x6657,anna99@example.com,DL40060760,False,
CLM_LEG_95,Sara Walter,186-38-1600,1977-01-15,"54544 Lopez Path Apt. 096
Erintown, SD 65692",746-666-0993x5387,joycehardy@example.net,DL24571018,False,
CLM_LEG_96,Mark Carpenter,636-10-7737,2005-07-12,"USNV Pena
FPO AE 47068",346.955.4947,vincentdillon@example.com,DL71113720,False,
CLM_LEG_97,Penny Anderson,445-82-7036,1972-06-15,"23569 Thomas Wall
Port Christopher, MA 83211",(450)907-4329,ysanford@example.org,DL5063406,False,
CLM_LEG_98,Katherine Christensen MD,832-52-0314,1960-07-19,"58300 Jeremy Wells Suite 421
Gordonport, GA 09058",4447789856,jessicaanderson@example.net,DL2941149,False,
CLM_LEG_99,Steven Hunt,633-16-4632,1952-10-05,"50648 Brittney Causeway
Lake Maryton, UT 15677",(676)418-4723x04618,jimenezchelsea@example.com,DL70215481,False,
CLM_LEG_100,Elizabeth Marshall MD,179-06-4761,1969-07-08,"Unit 5642 Box 0873
DPO AP 63502",530-901-1972x18114,ronald11@example.org,DL1298197,False,
CLM_LEG_101,Peggy Carr,884-88-2141,1977-11-17,"5794 Nathan Junctions
North Richard, NH 36130",(976)421-2021x6979,arodriguez@example.com,DL6170301,False,
CLM_LEG_102,Donald Hunter,564-83-6204,1972-06-12,"89935 Ryan Stream Apt. 756
Port Margaret, MH 80836",7025877217,christianwallace@example.net,DL60142774,False,
CLM_LEG_103,Courtney Peterson,850-82-4784,1982-04-10,"5170 Richard Camp Apt. 199
Pamelaside, IL 86300",+1-375-350-3758x99757,jacqueline02@example.com,DL18850770,False,
CLM_LEG_104,Betty Hughes,615-78-5274,1979-04-23,"49331 Lewis Views Apt. 516
Lake Maryshire, DE 59549",498.427.0808x697,mbarnes@example.net,DL33318046,False,
CLM_LEG_105,Kelly Johnson,149-07-0928,1958-08-10,"7226 Cameron Plaza Suite 833
New Jennifer, TX 45759",+1-622-888-5158x79968,karen24@example.net,DL33629729,False,
CLM_LEG_106,Sean Dalton,454-29-6026,1996-05-22,"438 Michael Mission
New Mirandaside, VI 29901",001-286-638-4066x6580,kimberlybrandt@example.com,DL60238919,False,
CLM_LEG_107,Tina Meyer,806-65-2612,1973-04-23,"28160 Ramirez Greens
East Brandy, KS 01240",372-702-5909x47985,odavis@example.org,DL89031246,False,
CLM_LEG_108,Steven Lee,527-11-1573,1956-05-24,"3987 Danny Key Suite 399
North Felicia, MD 50488",964-984-0858,simsjason@example.net,DL28611881,False,
CLM_LEG_109,Margaret Montgomery,775-96-9595,1948-02-07,"38612 Stephen Isle Apt. 110
Port Johnathan, CA 75862",846.367.6650,howardwesley@example.com,DL92057075,False,
CLM_LEG_110,Paul Berger,353-28-6761,2006-08-19,"7660 Moore Forges
Lake Peter, AS 72030",824-350-8821x0099,eugenewalker@example.com,DL26082023,False,
CLM_LEG_111,Elizabeth Silva,580-73-5972,1999-12-20,"781 Powers Glen
East Jessicafort, MA 47311",(931)749-1357,susan20@example.com,DL33041067,False,
CLM_LEG_112,Kristen Stephens,553-61-2436,1969-11-24,"5257 Griffin Trail Suite 781
Lake Catherine, MP 37281",(883)541-1080,xwalker@example.net,DL98412038,False,
CLM_LEG_113,Philip Hall,271-48-3835,1947-12-02,"8816 Shaw Shore
Port Tamara, RI 90175",(982)772-2992,aprilmoody@example.com,DL63038607,False,
CLM_LEG_114,Sean Tucker,494-78-0109,1979-02-26,"PSC 0051, Box 8449
APO AP 75233",(566)859-1846,scotthall@example.net,DL86366021,False,
CLM_LEG_115,Bridget Jackson,185-67-6643,1985-10-16,"25913 Shepherd Stravenue
South Emmafort, IL 77937",(460)230-2992,johnsjessica@example.com,DL11508969,False,
CLM_LEG_116,Cassandra Valenzuela,615-05-8707,1979-04-04,"2369 Laura View Apt. 984
Lake Gina, NH 78689",001-813-466-2103,davisdonna@example.net,DL72381739,False,
CLM_LEG_117,Daniel Brock,419-47-1747,1955-07-16,"650 Perez Unions Suite 659
South Dennisfort, WI 30976",349-286-4300,qpearson@example.com,DL71954780,False,
CLM_LEG_118,Mark Brock,844-19-7728,1985-11-07,"463 Arnold Point Suite 258
Kingport, OK 45636",001-262-413-7213x86589,qdavis@example.org,DL49772648,False,
CLM_LEG_119,Matthew Cantrell,089-36-6545,1969-01-13,"669 Dawson Ranch
Port Lorifort, NV 01904",484.230.9883,msullivan@example.net,DL2062459,False,
CLM_LEG_120,Regina Frye,898-69-9420,1962-01-10,"84895 Richmond Harbor
New Sylvia, NH 53448",001-604-726-8181,kchurch@example.com,DL32651583,False,
CLM_LEG_121,Debra Valentine,700-25-8176,1995-03-02,"790 Wilson Cliff Suite 335
Moseshaven, ND 01775",001-743-541-6518x275,jimmyallen@example.com,DL27753358,False,
CLM_LEG_122,Jenny Ayers,034-65-5690,1971-10-18,"521 Samantha Springs
Austinside, AZ 63715",(495)279-4728x463,stephenmartinez@example.net,DL61749629,False,
CLM_LEG_123,Veronica Parks,834-13-4423,1999-09-21,"36915 Salazar Green
New Jose, KY 62281",+1-955-427-6365x564,angelachase@example.org,DL19574814,False,
CLM_LEG_124,Debbie Ward,571-33-5639,1946-05-10,"0267 Wendy Vista
Kristenport, KS 74181",001-306-912-0347,rmartinez@example.net,DL26703705,False,
CLM_LEG_125,Jennifer Barron,800-47-9617,1980-06-14,"5587 Preston Light
Stevenberg, VI 22465",+1-656-699-6112x5355,lgutierrez@example.org,DL16782572,False,
CLM_LEG_126,Howard Herman,885-61-7655,2004-04-08,"132 Garcia Circles Suite 800
Warrenland, CT 34901",+1-421-264-3347x228,amy28@example.org,DL79299984,False,
CLM_LEG_127,Chelsea Khan,448-51-4095,1956-02-12,"845 Fernandez Valley Apt. 745
Greenport, AL 00513",525.247.8077x40649,oclayton@example.com,DL10631350,False,
CLM_LEG_128,Calvin Gonzales,009-30-1478,1955-04-05,"944 Gutierrez Walk
East Derrickville, SC 60183",+1-474-397-3502x080,snydermatthew@example.com,DL66893545,False,
CLM_LEG_129,Vickie Kennedy,698-40-5294,1955-10-19,"Unit 7051 Box 2046
DPO AE 71698",923.346.0136x7303,garnerandrea@example.org,DL33999060,False,
CLM_LEG_130,Rebecca Martinez,239-41-9149,1998-08-31,"50313 Nguyen Expressway Suite 916
North Tanya, OR 91039",792.451.3271x9500,linda73@example.org,DL92509566,False,
CLM_LEG_131,Mark Gray,190-03-5966,1997-10-23,"0778 Daniels Overpass
New Jacob, MI 42926",001-774-998-2182x7448,malikbrown@example.net,DL52008140,False,
CLM_LEG_132,Larry Jones,214-84-8052,2005-07-21,"294 Ortiz Islands Apt. 181
Port Sharonburgh, VI 04600",617.231.0967,mcdonalddanielle@example.com,DL74896161,False,
CLM_LEG_133,Jessica Garcia,812-24-9011,1972-04-30,"0948 Jessica Village Suite 138
North Jessicaside, MS 25333",783.992.8861,diane89@example.com,DL47288136,False,
CLM_LEG_134,Kelly Holder,310-01-4921,1960-02-08,"PSC 8556, Box 6593
APO AP 72017",268.645.7760,melissasmith@example.net,DL37038339,False,
CLM_LEG_135,Misty Mcguire,178-63-9441,2000-10-09,"PSC 8899, Box 2107
APO AA 20962",(845)593-3441,larsonkevin@example.net,DL77347488,False,
CLM_LEG_136,Richard Hernandez,345-11-7797,1983-11-22,"5661 Julie Vista
Lake Kimberlyfurt, AR 40449",305.589.2583x20679,kelleyjose@example.com,DL67353558,False,
CLM_LEG_137,Wanda Ramos,150-57-0736,2007-11-24,"78376 Ann Street
East Charles, WI 56870",491-716-6553x55904,jamesbrooks@example.net,DL11517819,False,
CLM_LEG_138,Duane Mccormick,633-35-0870,1976-08-23,"92405 Kevin Mountains
West Jasonside, IL 27213",+1-284-687-9206,jonesdonna@example.net,DL88597172,False,
CLM_LEG_139,Heather Turner,514-36-1016,1987-08-04,"46368 Rebecca Oval
East Jamesmouth, OH 93885",2037845762,natasha08@example.com,DL30277197,False,
CLM_LEG_140,Justin Fry,122-24-5204,2002-02-18,"216 Robert Ports Apt. 649
Shaneberg, IL 86021",(498)432-4826,jessicacannon@example.com,DL55197277,False,
CLM_LEG_141,Tiffany Walker,688-26-3352,1949-07-03,"31220 Obrien Ridge Apt. 933
West Christopherfort, DC 66341",+1-875-226-7722x330,saraduke@example.net,DL65759022,False,
CLM_LEG_142,Louis Brown,530-19-7596,2001-06-24,"66096 Long Summit Apt. 817
Wilcoxton, FM 32708",986.408.6803x47644,gdavis@example.org,DL24128507,False,
CLM_LEG_143,Christopher Rogers,893-85-2460,1956-01-14,"6570 Shawn Station
South Christopher, MD 91165",+1-821-811-7518x6892,haroldjoseph@example.com,DL41347409,False,
CLM_LEG_144,Anthony Bailey,149-05-9472,2002-01-11,"2123 Cindy Glen Apt. 777
New Nicolebury, IL 77684",+1-577-267-1990x38498,mark10@example.org,DL55963010,False,
CLM_LEG_145,Scott Murphy,424-68-3439,1992-05-09,"Unit 2499 Box 9827
DPO AP 76387",(901)445-5616x814,cherylrodriguez@example.net,DL84420078,False,
CLM_LEG_146,Gene Castro,653-28-0186,1988-08-06,"9469 Green Ports
Sarashire, NM 68619",001-577-829-3430x1071,hannahking@example.org,DL41308532,False,
CLM_LEG_147,Evelyn Hendricks,815-46-1085,1955-03-01,"15569 Marilyn Fields Suite 577
Lake Derekberg, SC 60875",+1-257-560-8495,mary56@example.net,DL71708931,False,
CLM_LEG_148,Morgan Mills,795-42-2348,1997-05-14,"91450 Gutierrez Parks Apt. 574
New Kevin, DE 49550",5317780782,shortsharon@example.net,DL17812995,False,
CLM_LEG_149,Donald Smith,638-72-8423,1951-12-21,"6810 Randolph Spur
West Steventon, CT 68734",001-340-694-3533x44857,amydunn@example.com,DL18999435,False,
CLM_LEG_150,Michael Vance,645-89-7305,1986-12-11,"USNV Andrews
FPO AE 09838",395-887-0207x0160,larry38@example.org,DL62504573,False,
CLM_LEG_151,Christopher Tate,619-74-2088,1979-07-28,"717 Cohen Station
Ruizbury, FL 81364",756-925-5770x171,sullivanjennifer@example.org,DL43737494,False,
CLM_LEG_152,Brent Wallace,316-52-1141,1985-09-18,"8769 Allen Gardens
South Patrick, MA 27795",001-396-969-5832x197,jenningscandace@example.com,DL43943990,False,
CLM_LEG_153,Joshua Brown,721-72-5886,1952-06-20,"32902 Shawn Highway
Gilbertmouth, ID 27457",+1-654-294-6519x09862,michelle36@example.net,DL79210454,False,
CLM_LEG_154,Martin Perry,467-90-9903,1973-12-21,"666 Gardner Shore Apt. 723
Bridgesstad, MP 55188",(842)420-1027,shawncoleman@example.com,DL51635535,False,
CLM_LEG_155,Kelly Bishop,252-61-1280,1991-07-22,"9097 Jennifer Grove
Houseshire, MN 04886",6979519712,chloe58@example.org,DL62930506,False,
CLM_LEG_156,Alexis Rodriguez,179-76-2477,1989-11-10,"565 Roberts Camp Suite 940
Laneshire, AR 86526",690-647-1281x4429,lwood@example.com,DL94056411,False,
CLM_LEG_157,John Alvarez,771-69-3829,1970-11-06,"051 Caitlin View
Port Tyler, MT 50723",272.439.5041,jwells@example.net,DL58349054,False,
CLM_LEG_158,Melissa Bell,743-37-4128,1958-02-22,"5801 Blanchard Meadows Suite 544
West Destinyfurt, NH 89012",001-839-338-5258x0010,johnsonchristopher@example.net,DL88128100,False,
